Metric,Value
Dataset,Arrhythmia_raw_clean
N_features,279
N_classes,13
N_chains,10
q,0.5
Epochs,50
Ensemble AUROC (%),85.03
Ensemble Detection Error (%),23.81
Avg Confidence ID (%),37.61
Avg Confidence OOD (%),23.03
Confidence Gap (%),14.58
---,---
Chain 1,"Acc=61.54%, AUROC=78.66%"
Chain 2,"Acc=61.54%, AUROC=77.44%"
Chain 3,"Acc=63.74%, AUROC=79.21%"
Chain 4,"Acc=62.64%, AUROC=75.82%"
Chain 5,"Acc=61.54%, AUROC=78.33%"
Chain 6,"Acc=56.04%, AUROC=80.8%"
Chain 7,"Acc=54.95%, AUROC=80.96%"
Chain 8,"Acc=54.95%, AUROC=81.24%"
Chain 9,"Acc=54.95%, AUROC=81.91%"
Chain 10,"Acc=53.85%, AUROC=74.39%"
